X1,X2,Y
0.1,-0.19,1
0.36,0.19,1
-0.02,0.05,0
-0.0,0.15,0
-0.48,-0.11,0
-0.0,-0.0,0
-0.04,0.21,0
0.07,-0.12,1
-0.13,-0.03,1
0.09,-0.02,1
0.28,-0.1,1
0.3,0.26,1
0.02,0.06,1
0.15,-0.05,1
0.15,-0.1,1
-0.24,-0.41,1
0.29,-0.23,1
0.38,-0.27,1
0.29,0.1,1
0.1,0.01,1
0.06,0.01,0
0.14,0.14,1
0.45,-0.17,1
0.11,0.43,0
0.13,-0.25,1
-0.09,-0.39,1
0.12,0.13,1
0.07,0.06,0
-0.21,0.17,0
-0.13,0.11,0
-0.07,0.16,0
-0.13,-0.06,0
-0.06,0.25,0
0.14,-0.09,0
0.31,-0.38,1
-0.1,0.14,0
-0.22,-0.04,0
0.0,-0.08,1
0.05,0.13,0
-0.43,0.17,0
-0.4,0.14,0
0.18,-0.08,1
-0.18,-0.32,1
-0.14,0.04,0
-0.02,-0.04,0
0.0,0.0,0
0.23,0.32,0
-0.07,-0.07,1
-0.09,-0.36,1
0.35,-0.3,1
0.12,-0.09,1
0.05,-0.14,1
-0.02,0.06,0
0.0,0.01,0
0.37,-0.15,1
-0.06,0.02,1
-0.14,-0.26,1
0.09,-0.06,1
-0.2,-0.27,1
0.08,0.14,0
-0.22,-0.32,1
0.27,0.14,1
0.08,-0.31,1
-0.43,-0.13,0
0.07,-0.22,1
-0.21,0.06,0
-0.38,-0.05,0
0.15,0.08,0
0.33,0.14,1
-0.05,-0.09,1
-0.14,-0.03,1
-0.25,0.05,0
-0.2,0.08,0
-0.08,0.12,0
-0.04,-0.08,0
0.04,-0.2,1
-0.29,-0.2,0
0.0,-0.03,0
0.27,-0.15,1
-0.0,-0.1,1
0.08,0.08,0
0.2,-0.42,1
0.33,0.07,1
-0.06,0.23,0
-0.31,0.22,0
0.03,0.17,0
0.26,-0.02,1
0.16,0.17,0
-0.1,0.15,0
-0.14,0.02,0
0.23,-0.33,1
-0.05,0.01,0
-0.11,-0.07,1
0.11,0.34,0
0.02,-0.03,1
-0.33,0.21,0
0.27,0.14,1
0.29,0.24,1
0.0,0.01,0
0.13,-0.02,1
0.08,0.17,0
-0.31,-0.02,0
-0.05,-0.15,1
0.44,0.14,1
-0.15,-0.04,0
-0.07,0.2,0
0.28,0.02,1
0.42,0.07,1
-0.03,-0.02,0
-0.03,0.16,0
-0.01,0.11,0
-0.35,-0.24,0
-0.31,0.02,0
0.04,0.04,0
-0.2,-0.07,0
-0.26,-0.35,1
-0.34,0.12,0
0.05,0.48,0
-0.46,0.07,0
-0.06,0.35,0
0.14,-0.46,1
0.0,0.39,0
-0.22,-0.25,1
0.13,0.07,0
0.03,-0.37,1
-0.23,-0.28,0
-0.02,0.01,0
0.27,-0.37,1
-0.12,0.04,0
0.05,0.02,0
0.3,0.27,1
0.01,0.03,1
0.05,-0.02,1
-0.06,-0.01,0
0.13,-0.18,1
0.0,-0.05,1
0.27,-0.03,1
-0.12,-0.05,1
-0.14,-0.2,1
-0.02,-0.02,0
-0.03,0.0,0
-0.11,0.15,0
0.12,0.2,1
0.2,0.37,0
0.15,0.1,1
0.06,-0.1,1
-0.14,0.02,0
0.03,-0.17,1
-0.45,-0.03,0
-0.02,0.01,0
